"Claim Number","Employee","Department","Status","Total AED","Total EUR","Submitted Date","Items"
"WPS-2026-0015","John Smith","Sales","FINANCE_APPROVED","36925.00","8567.28","05 Jun 2026","2"
"WPS-2026-0014","John Smith","Sales","SUBMITTED","3672.50","852.09","05 Jun 2026","1"
"WPS-2026-0013","John Smith","Sales","DRAFT","50.00","11.60","05 Jun 2026","1"
"WPS-2026-0012","John Smith","Sales","DRAFT","100.00","23.20","05 Jun 2026","1"
"WPS-2026-0011","John Smith","QA","PAID","1848.08","428.78","05 Jun 2026","4"
"WPS-2026-0010","John Smith","Sales","DRAFT","2956.10","685.87","-","4"
"WPS-2026-0009","John Smith","Sales","SUBMITTED","367.25","85.21","04 Jun 2026","1"
"WPS-2026-0008","John Smith","Sales","DRAFT","100.00","23.20","04 Jun 2026","1"
"WPS-2026-0007","John Smith","Sales","DRAFT","0.00","0.00","-","0"
"WPS-2026-0006","John Smith","Sales","PAID","2420.63","561.62","04 Jun 2026","5"
"WPS-2026-0005","John Smith","Sales","DRAFT","450.00","104.41","-","1"
"WPS-2026-0004","John Smith","Sales","DRAFT","100.00","23.20","04 Jun 2026","1"
"WPS-2026-0003","John Smith","Sales","DRAFT","0.00","0.00","-","0"
"WPS-2026-0002","John Smith","Sales","PAID","2420.63","561.62","04 Jun 2026","5"
"WPS-2026-001","John Smith","Sales","DRAFT","1320.88","306.48","-","3"
